date,year,month,day,event_text,category,source_pages
1047-02-03,1047,2,3,Drogo of Hauteville is elected as count of the Apulian Normans during the Norman conquest of Southern Italy.,standard,Drogo_of_Hauteville; County_of_Apulia_and_Calabria; Norman_conquest_of_southern_Italy; February_3
1048-07-17,1048,7,17,"Damasus II is elected pope, and dies 23 days later.",standard,Pope_Damasus_II; July_17
1048-09-18,1048,9,18,Battle of Kapetron between a combined Byzantine-Georgian army and a Seljuq army.,standard,Battle_of_Kapetron; Seljuk_Empire; September_18
1051-05-19,1051,5,19,"Henry I of France marries the Rus' princess, Anne of Kiev.",standard,Henry_I_of_France; Kievan_Rus'; Anne_of_Kiev; May_19
1053-06-18,1053,6,18,Battle of Civitate: Three thousand Norman horsemen of Count Humphrey rout the troops of Pope Leo IX.,standard,Battle_of_Civitate; Normans; Humphrey_of_Hauteville; Pope_Leo_IX
1054-07-04,1054,7,4,"A supernova, called SN 1054, is seen by Chinese Song dynasty, Arab, and possibly Amerindian observers near the star Zeta Tauri. For several months it remains bright enough to be seen during the day. Its remnants form the Crab Nebula.",standard,SN_1054; Song_dynasty; Arabs; Indigenous_peoples_of_the_Americas; Zeta_Tauri; Crab_Nebula
1054-07-16,1054,7,16,Three Roman legates break relations between Western and Eastern Christian churches through the act of placing a papal bull of excommunication on the altar of Hagia Sophia during Saturday afternoon divine liturgy. Historians frequently describe the event as the formal start of the East–West Schism.,standard,Papal_legate; Western_Christianity; Eastern_Christianity; Papal_bull; Excommunication; Hagia_Sophia; East–West_Schism
1054-07-27,1054,7,27,"Siward, Earl of Northumbria, invades Scotland and defeats Macbeth, King of Scotland, somewhere north of the Firth of Forth. This is known as the Battle of Dunsinane.",standard,"Siward,_Earl_of_Northumbria; Macbeth,_King_of_Scotland; Firth_of_Forth; Battle_of_Dunsinane"
1055-01-11,1055,1,11,Theodora is crowned empress of the Byzantine Empire.,standard,Theodora_Porphyrogenita; Byzantine_Empire; January_11
1056-08-31,1056,8,31,"After a sudden illness a few days previously, Byzantine Empress Theodora dies childless, thus ending the Macedonian dynasty.",standard,List_of_Roman_and_Byzantine_empresses; Theodora_Porphyrogenita; Macedonian_dynasty
1057-08-03,1057,8,3,Frederick of Lorraine elected as Pope Stephen IX.,standard,Pope_Stephen_IX
1057-08-15,1057,8,15,King Macbeth is killed at the Battle of Lumphanan by the forces of Máel Coluim mac Donnchada.,standard,"Macbeth,_King_of_Scotland; Battle_of_Lumphanan; Malcolm_III_of_Scotland"
1057-08-31,1057,8,31,Abdication of Byzantine Emperor Michael VI Bringas after just one year.,standard,Michael_VI_Bringas
1058-09-20,1058,9,20,Agnes of Poitou and Andrew I of Hungary meet to negotiate about the border territory of Burgenland.,standard,Agnes_of_Poitou; Andrew_I_of_Hungary; Burgenland; September_20
1060-08-30,1060,8,30,"The Mirdasids defeat the Fatimid Caliphate at the Battle of al-Funaydiq, signalling the definitive loss of Aleppo for the Fatimids.",standard,Mirdasid_dynasty; Fatimid_Caliphate; Battle_of_al-Funaydiq; Aleppo; August_30
1060-12-06,1060,12,6,Béla I is crowned king of Hungary.,standard,Béla_I_of_Hungary; Kingdom_of_Hungary; December_6
1065-03-25,1065,3,25,"The Great German Pilgrimage is attacked on Good Friday by Beduin bandits, suffering heavy losses.",standard,Great_German_Pilgrimage_of_1064–65; Good_Friday; Bedouin; March_25
1065-03-28,1065,3,28,"The Great German Pilgrimage, which had been under attack by Bedouin bandits for three days, is rescued by the Fatimid governor of Ramla.",standard,Great_German_Pilgrimage_of_1064–65; Bedouin; Fatimid_Caliphate; Ramla; March_28
1065-12-28,1065,12,28,Edward the Confessor's Romanesque monastic church at Westminster Abbey is consecrated.,standard,Edward_the_Confessor; Romanesque_architecture; Westminster_Abbey; Sacredness; December_28
1066-01-06,1066,1,6,"Following the death of Edward the Confessor on the previous day, the Witan meets to confirm Harold Godwinson as the new King of England; Harold is crowned the same day, sparking a succession crisis that will eventually lead to the Norman conquest of England.",standard,Edward_the_Confessor; Witan; Harold_Godwinson; Norman_Conquest; January_6
1066-09-18,1066,9,18,Norwegian king Harald Hardrada lands with Tostig Godwinson at the mouth of the Humber River and begins his invasion of England.,standard,Harald_Hardrada; Tostig_Godwinson; September_18
1066-09-20,1066,9,20,"At the Battle of Fulford, Harald Hardrada defeats earls Morcar and Edwin.",standard,Battle_of_Fulford; September_20
1066-09-25,1066,9,25,"In the Battle of Stamford Bridge, Harald Hardrada, the invading King of Norway, is defeated by King Harold II of England.",standard,Battle_of_Stamford_Bridge; Harald_Hardrada; Harold_Godwinson; September_25
1066-09-27,1066,9,27,"William the Conqueror and his army set sail from the mouth of the Somme river, beginning the Norman conquest of England.",standard,William_the_Conqueror; Norman_Conquest; September_27
1066-09-28,1066,9,28,"William the Conqueror lands in England, beginning the Norman conquest.",standard,England; Norman_Conquest; September_28
1066-10-14,1066,10,14,The Norman conquest of England begins with the Battle of Hastings.,standard,Norman_Conquest; Battle_of_Hastings; October_14
1066-10-15,1066,10,15,"Following the death of Harold II at the Battle of Hastings, Edgar the Ætheling is proclaimed King of England by the Witan; he is never crowned, and concedes power to William the Conqueror two months later.",standard,Battle_of_Hastings; Edgar_Ætheling; Witan; William_the_Conqueror; October_15
1066-12-25,1066,12,25,"William the Conqueror, Duke of Normandy is crowned king of England, at Westminster Abbey, London.",standard,William_the_Conqueror; Duke_of_Normandy; Coronations_of_William_the_Conqueror_and_Matilda; Westminster_Abbey; London; December_25
1066-12-30,1066,12,30,"Granada massacre: A Muslim mob storms the royal palace in Granada, crucifies Jewish vizier Joseph ibn Naghrela and massacres most of the Jewish population of the city.",standard,1066_Granada_massacre; Islam; Granada; Crucifixion; Jews; Vizier
1068-01-01,1068,1,1,Romanos IV Diogenes marries Eudokia Makrembolitissa and is crowned Byzantine Emperor.,standard,Romanos_IV_Diogenes; Eudokia_Makrembolitissa; List_of_Byzantine_emperors; January_1
1068-03-18,1068,3,18,"An earthquake in the Levant and the Arabian Peninsula leaves up to 20,000 dead.",standard,1068_Near_East_earthquake; Levant; Arabian_Peninsula
1068-05-11,1068,5,11,"Matilda of Flanders, wife of William the Conqueror, is crowned Queen of England.",standard,Matilda_of_Flanders; William_the_Conqueror; List_of_English_royal_consorts; May_11
1068-08-05,1068,8,5,Byzantine–Norman wars: Italo-Normans begin a nearly-three-year siege of Bari.,standard,Byzantine–Norman_wars; Italo-Normans; Siege_of_Bari
1069-01-28,1069,1,28,"Robert de Comines, appointed Earl of Northumbria by William the Conqueror, rides into Durham, England, where he is defeated and killed by rebels. This incident leads to the Harrying of the North.",standard,"Robert_de_Comines; Earl_of_Northumbria; William_the_Conqueror; Durham,_England; January_28; Harrying_of_the_North"
1070-08-15,1070,8,15,The Pavian-born Benedictine Lanfranc is appointed as the new Archbishop of Canterbury in England.,standard,Pavia; Benedictines; Lanfranc; Archbishop_of_Canterbury
1071-04-15,1071,4,15,"Bari, the last Byzantine possession in southern Italy, is surrendered to Robert Guiscard.",standard,Bari; Byzantine_Empire; Siege_of_Bari; Robert_Guiscard; April_15
1071-08-26,1071,8,26,"The Seljuq Turks defeat the Byzantine army at the Battle of Manzikert, and soon gain control of most of Anatolia.",standard,Seljuk_dynasty; Byzantine_army; Battle_of_Manzikert; Anatolia
1072-01-10,1072,1,10,Robert Guiscard conquers Palermo in Sicily for the Normans.,standard,Robert_Guiscard; Palermo; January_10
1074-03-14,1074,3,14,"Battle of Mogyoród: Dukes Géza and Ladislaus defeat their cousin Solomon, King of Hungary, forcing him to flee to Hungary's western borderland.",standard,"Battle_of_Mogyoród; Géza_I_of_Hungary; Ladislaus_I_of_Hungary; Solomon,_King_of_Hungary; March_14"
1075-10-08,1075,10,8,Dmitar Zvonimir is crowned King of Croatia.,standard,Demetrius_Zvonimir
1076-02-22,1076,2,22,"Having received a letter during the Lenten synod of 14–20 February demanding that he abdicate, Pope Gregory VII excommunicates Henry IV, Holy Roman Emperor.",standard,"February_22; Pope_Gregory_VII; Henry_IV,_Holy_Roman_Emperor"
1076-12-25,1076,12,25,Coronation of Bolesław II the Generous as king of Poland.,standard,Bolesław_II_the_Bold
1077-01-28,1077,1,28,"Walk to Canossa: The excommunication of Henry IV, Holy Roman Emperor, is lifted after he humbles himself before Pope Gregory VII at Canossa in Italy.",standard,"Road_to_Canossa; Excommunication; Henry_IV,_Holy_Roman_Emperor; Pope_Gregory_VII; January_28"
1077-04-03,1077,4,3,"The Patriarchate of Friûl, the first Friulian state, is created.",standard,Friuli; April_3
1080-04-17,1080,4,17,"Harald III of Denmark dies and is succeeded by Canute IV, who would later be the first Dane to be canonized.",standard,Harald_Hen; Canute_IV_of_Denmark; Canonization
1081-04-01,1081,4,1,"Alexios I Komnenos overthrows the Byzantine emperor Nikephoros III Botaneiates, and, after his troops spend three days extensively looting Constantinople, is formally crowned on April 4.",standard,Alexios_I_Komnenos; List_of_Byzantine_emperors; Nikephoros_III_Botaneiates; April_1; Constantinople
1081-10-18,1081,10,18,The Normans defeat the Byzantine Empire in the Battle of Dyrrhachium.,standard,Normans; Byzantine_Empire; Battle_of_Dyrrhachium_(1081)
1082-12-05,1082,12,5,"Ramon Berenguer II, Count of Barcelona is assassinated, most likely by his brother, Berenguer Ramon II.",standard,"Ramon_Berenguer_II,_Count_of_Barcelona; Berenguer_Ramon_II; December_5"
1083-08-20,1083,8,20,"Canonization of the first King of Hungary, Saint Stephen and his son Saint Emeric celebrated as a National Day in Hungary.",standard,King_of_Hungary; Stephen_I_of_Hungary; Saint_Emeric_of_Hungary
1085-05-25,1085,5,25,"Alfonso VI of Castile takes Toledo, Spain, back from the Moors.",standard,"Alfonso_VI_of_León_and_Castile; Toledo,_Spain; Moors; May_25"
1086-06-05,1086,6,5,"Tutush, brother of Seljuk sultan Malik Shah, defeats Suleiman ibn Qutalmish, the Turkish ruler of Anatolia in the battle of Ain Salm.",standard,Tutush_I; Seljuk_Empire; Malik-Shah_I; Suleiman_ibn_Qutalmish; Sultanate_of_Rum; Battle_of_Ain_Salm; June_5
1086-10-23,1086,10,23,"Spanish Reconquista: At the Battle of Sagrajas, the Almoravids defeats the Castilians, but are unable to take advantage of their victory.",standard,Reconquista; Battle_of_Sagrajas; Almoravid_dynasty; Kingdom_of_Castile
1087-09-26,1087,9,26,"William II is crowned King of England, and reigns until 1100.",standard,William_II_of_England
1088-03-12,1088,3,12,Election of Urban II as the 159th Pope of the Catholic Church. He is best known for initiating the Crusades.,standard,1088_papal_election; Pope_Urban_II; List_of_popes; Pope; Catholic_Church; Crusades; March_12
1089-09-10,1089,9,10,"The first synod of pope Urban II starts in Melfi, with seventy bishops and twelve abbots in attendance. The synod issues several decrees about church law and deals with the relation with the Greek part of the Church.",standard,Synod_of_Melfi_(1089); Pope_Urban_II; Melfi; September_10
1090-11-03,1090,11,3,"The Rouen Riot, an attempt by English king William Rufus to take possession of Rouen, the capital city of his brother Robert, duke of Normandy, fails.",standard,Rouen_Riot; William_II_of_England; Rouen; Robert_Curthose; November_3
1091-04-29,1091,4,29,Battle of Levounion: The Pechenegs are defeated by Byzantine Emperor Alexios I Komnenos.,standard,Battle_of_Levounion; Pechenegs; List_of_Byzantine_emperors; Alexios_I_Komnenos; April_29
1091-10-17,1091,10,17,London tornado of 1091: A tornado thought to be of strength T8/F4 strikes the heart of London.,standard,London_tornado_of_1091
1092-04-21,1092,4,21,The Diocese of Pisa is elevated to the rank of metropolitan archdiocese by Pope Urban II,standard,Roman_Catholic_Archdiocese_of_Pisa; Diocese; Pope_Urban_II
1093-11-13,1093,11,13,"Battle of Alnwick: in an English victory over the Scots, Malcolm III of Scotland, and his son Edward, are killed.",standard,Battle_of_Alnwick_(1093); Malcolm_III_of_Scotland; November_13
1095-11-18,1095,11,18,"The Council of Clermont begins: called by Pope Urban II, it led to the First Crusade to the Holy Land.",standard,Council_of_Clermont; Pope_Urban_II; First_Crusade; Holy_Land; November_18
1095-11-27,1095,11,27,Pope Urban II declares the First Crusade at the Council of Clermont.,standard,Pope_Urban_II; First_Crusade; Council_of_Clermont
1096-02-12,1096,2,12,Pope Urban II confirms the foundation of the abbey of La Roë under Robert of Arbrissel as a community of canons regular.,standard,Pope_Urban_II; La_Roë; Robert_of_Arbrissel; Canon_regular; February_12
1096-05-18,1096,5,18,"First Crusade: Around 800 Jews are massacred in Worms, Germany.",standard,First_Crusade; Worms_massacre_(1096); May_18
1096-05-27,1096,5,27,"Count Emicho enters Mainz, where his followers massacre Jewish citizens. At least 600 Jews are killed.",standard,Emicho; Mainz; Rhineland_massacres; May_27
1096-08-15,1096,8,15,Starting date of the First Crusade as set by Pope Urban II.,standard,First_Crusade; Pope_Urban_II; August_15
1096-10-21,1096,10,21,A Seljuk Turkish army successfully fights off the People's Crusade at the Battle of Civetot.,standard,People's_Crusade; Battle_of_Civetot
1097-05-14,1097,5,14,The Siege of Nicaea begins during the First Crusade.,standard,Siege_of_Nicaea; First_Crusade; May_14
1097-07-01,1097,7,1,Battle of Dorylaeum: Crusaders led by prince Bohemond of Taranto defeat a Seljuk army led by sultan Kilij Arslan I.,standard,Battle_of_Dorylaeum_(1097); Crusades; Bohemond_I_of_Antioch; Seljuk_dynasty; Kilij_Arslan_I; July_1
1097-10-21,1097,10,21,"First Crusade: Crusaders led by Godfrey of Bouillon, Bohemund of Taranto, and Raymond IV, Count of Toulouse, begin the Siege of Antioch.",standard,"First_Crusade; Godfrey_of_Bouillon; Bohemond_I_of_Antioch; Raymond_IV,_Count_of_Toulouse; Siege_of_Antioch"
1098-02-09,1098,2,9,A First Crusade army led by Bohemond of Taranto wins a major battle against the Seljuq emir Ridwan of Aleppo during the siege of Antioch,standard,First_Crusade; Bohemond_I_of_Antioch; Battle_of_the_Lake_of_Antioch; Seljuk_Empire; Fakhr_al-Mulk_Ridwan; Siege_of_Antioch; February_9
1098-06-02,1098,6,2,First Crusade: The first Siege of Antioch ends as Crusader forces take the city; the second siege began five days later.,standard,First_Crusade; Siege_of_Antioch; June_2
1098-06-03,1098,6,3,"After a five-month siege during the First Crusade, the Crusaders seize Antioch.",standard,First_Crusade; Antioch; June_3
1098-06-28,1098,6,28,Fighters of the First Crusade defeat Kerbogha of Mosul at the battle of Antioch.,standard,First_Crusade; Kerbogha; Battle_of_Antioch_(1098)
1099-06-07,1099,6,7,First Crusade: The Siege of Jerusalem begins.,standard,First_Crusade; Siege_of_Jerusalem_(1099); June_7
1099-07-15,1099,7,15,First Crusade: Christian soldiers take the Church of the Holy Sepulchre in Jerusalem after the final assault of a difficult siege.,standard,First_Crusade; Church_of_the_Holy_Sepulchre; Jerusalem; Siege_of_Jerusalem_(1099)
1099-07-22,1099,7,22,First Crusade: Godfrey of Bouillon is elected the first Defender of the Holy Sepulchre of The Kingdom of Jerusalem.,standard,First_Crusade; Godfrey_of_Bouillon; Church_of_the_Holy_Sepulchre; Kingdom_of_Jerusalem
1099-08-12,1099,8,12,First Crusade: Battle of Ascalon Crusaders under the command of Godfrey of Bouillon defeat Fatimid forces led by Al-Afdal Shahanshah. This is considered the last engagement of the First Crusade.,standard,First_Crusade; Battle_of_Ascalon; Godfrey_of_Bouillon; Fatimid_Caliphate; Al-Afdal_Shahanshah; August_12
1099-08-13,1099,8,13,"Raniero is elected as Pope Paschal II, who would become deeply entangled in the Investiture Controversy.",standard,Pope_Paschal_II; Investiture_Controversy
1100-08-05,1100,8,5,Henry I is crowned King of England in Westminster Abbey.,standard,Henry_I_of_England; List_of_English_monarchs; Westminster_Abbey; August_5
1100-09-08,1100,9,8,Election of Antipope Theodoric.,standard,Antipope_Theodoric
1100-11-11,1100,11,11,"Henry I of England marries Matilda of Scotland, the daughter of Malcolm III of Scotland and a direct descendant of the Saxon king Edmund Ironside; Matilda is crowned on the same day.",standard,Henry_I_of_England; Matilda_of_Scotland; Malcolm_III_of_Scotland; Edmund_Ironside; November_11
1100-12-25,1100,12,25,Baldwin of Boulogne is crowned the first King of Jerusalem in the Church of the Nativity in Bethlehem.,standard,Baldwin_I_of_Jerusalem; King_of_Jerusalem; Church_of_the_Nativity; Bethlehem; December_25
1105-11-18,1105,11,18,Maginulfo is elected Antipope Sylvester IV in opposition to Pope Paschal II.,standard,Antipope; Antipope_Sylvester_IV; Pope_Paschal_II; November_18
1105-12-31,1105,12,31,"Holy Roman Emperor Henry IV is forced to abdicate in favor of his son, Henry V, in Ingelheim.",standard,"Holy_Roman_Emperor; Henry_IV,_Holy_Roman_Emperor; Henry_V,_Holy_Roman_Emperor; Ingelheim_am_Rhein; December_31"
1106-09-28,1106,9,28,King Henry I of England defeats his brother Robert Curthose at the Battle of Tinchebray.,standard,Henry_I_of_England; Robert_Curthose; Battle_of_Tinchebray
1108-05-29,1108,5,29,Battle of Uclés: Almoravid troops under the command of Tamim ibn Yusuf defeat a Castile and León alliance under the command of Prince Sancho Alfónsez.,standard,Battle_of_Uclés_(1108); Almoravid_dynasty; Kingdom_of_Castile; Kingdom_of_León; Sancho_Alfónsez
1110-12-04,1110,12,4,An army led by Baldwin I of Jerusalem and Sigurd the Crusader of Norway captures Sidon at the end of the First Crusade.,standard,Baldwin_I_of_Jerusalem; Sigurd_the_Crusader; Norway; Siege_of_Sidon; First_Crusade; December_4
1111-04-13,1111,4,13,"Henry V, King of Germany, is crowned Holy Roman Emperor.",standard,"Henry_V,_Holy_Roman_Emperor; Holy_Roman_Emperor; April_13"
1111-09-17,1111,9,17,"Highest Galician nobility led by Pedro Fróilaz de Traba and the bishop Diego Gelmírez crown Alfonso VII as ""King of Galicia"".",standard,Kingdom_of_Galicia; Pedro_Fróilaz_de_Traba; Diego_Gelmírez; Alfonso_VII_of_León_and_Castile; September_17
1112-02-03,1112,2,3,"Ramon Berenguer III, Count of Barcelona, and Douce I, Countess of Provence, marry, uniting the fortunes of those two states.",standard,"Ramon_Berenguer_III,_Count_of_Barcelona; Douce_I,_Countess_of_Provence; February_3"
1113-02-15,1113,2,15,"Pope Paschal II issues Pie Postulatio Voluntatis, recognizing the Order of Hospitallers.",standard,Pope_Paschal_II; Pie_postulatio_voluntatis; Knights_Hospitaller; February_15
